"","doi","text_id","justification","EOV","version","DOI"
"831","https://doi.org/10.1121/1.2832509","","seabed imaging","","","10.1121/1.2832509"
"832","https://doi.org/10.1093/icesjms/fsn011","","sidescan and multibeam","","","10.1093/icesjms/fsn011"
"833","https://doi.org/10.1021/es071854n","","phototoxicity","","","10.1021/es071854n"
"834","https://doi.org/10.1016/j.aquaeng.2007.10.005","","photobioreactor","","","10.1016/j.aquaeng.2007.10.005"
"835","https://doi.org/10.1080/07438140709354039","","phytoplankton","","","10.1080/07438140709354039"
"836","https://doi.org/10.2989/AJMS.2007.29.1.6.72","","no fish","","","10.2989/AJMS.2007.29.1.6.72"
"837","https://doi.org/10.1007/s10646-007-0139-z","","phototoxicity","","","10.1007/s10646-007-0139-z"
"838","https://doi.org/10.1016/j.ecss.2006.10.008","","no fish","","","10.1016/j.ecss.2006.10.008"
"839","https://doi.org/10.3989/scimar.2007.71n2355","","multibeam","","","10.3989/scimar.2007.71n2355"
"840","https://doi.org/10.1016/j.aquaculture.2005.06.005","","aquaculture fish feces particles","","","10.1016/j.aquaculture.2005.06.005"
"841","https://doi.org/10.14358/PERS.72.9.1037","","satellite imagery","","","10.14358/PERS.72.9.1037"
"842","https://doi.org/10.1016/j.ecss.2003.09.012","","method","","","10.1016/j.ecss.2003.09.012"
"843","https://doi.org/10.1016/S0165-7836(01)00382-4","","sponges","","","10.1016/S0165-7836(01)00382-4"
"844","https://doi.org/10.1016/S0278-4343(01)00097-8","","xray","","","10.1016/S0278-4343(01)00097-8"
"845","https://doi.org/10.1016/S0025-3227(01)00254-7","","no fish","","","10.1016/S0025-3227(01)00254-7"
"846","https://doi.org/10.1016/S0278-4343(00)00120-5","","no fish","","","10.1016/S0278-4343(00)00120-5"
"847","https://doi.org/10.1357/002224001321237371","","method","","","10.1357/002224001321237371"
"848","https://doi.org/10.1016/S0022-0981(00)00344-0","","laboratory","","","10.1016/S0022-0981(00)00344-0"
"849","https://doi.org/10.1080/11250000009356326","","photophillic algae","","","10.1080/11250000009356326"
"850","https://doi.org/10.3354/meps190125","","SPI imaging","","","10.3354/meps190125"
"851","https://doi.org/10.1046/j.1523-1739.1998.0120061215.x","","sediment","","","10.1046/j.1523-1739.1998.0120061215.x"
"852","https://doi.org/10.1007/BF00286089","","multibeam","","","10.1007/BF00286089"
"853","https://doi.org/10.1016/S0380-1330(89)71469-6","","xray, freshwater","","","10.1016/S0380-1330(89)71469-6"
"854","https://doi.org/10.1071/MF9880133","","sediment","","","10.1071/MF9880133"
"855","https://doi.org/10.3354/ab00296","","turtles","","","10.3354/ab00296"
"856","https://doi.org/10.1002/ece3.11337","","eDNA","","","10.1002/ece3.11337"
"857","https://doi.org/10.1016/S0967-0645(97)00077-5","","no fish","","","10.1016/S0967-0645(97)00077-5"
"858","https://doi.org/10.1016/S0022-0981(02)00577-4","","SPI","","","10.1016/S0022-0981(02)00577-4"
"859","https://doi.org/10.1016/S0022-0981(02)00545-2","","SPI","","","10.1016/S0022-0981(02)00545-2"
"860","https://doi.org/10.1016/S0924-7963(96)00111-X","","SPI","","","10.1016/S0924-7963(96)00111-X"
"861","https://doi.org/10.1016/S0044-8486(03)00475-7","","SPI","","","10.1016/S0044-8486(03)00475-7"
"862","https://doi.org/10.1111/gcb.17506","","satellite imagery","","","10.1111/gcb.17506"
"863","https://doi.org/10.1016/j.ecss.2009.06.023","","satellite","","","10.1016/j.ecss.2009.06.023"
"864","https://doi.org/10.1080/00222930410001695015","","method","","","10.1080/00222930410001695015"
"865","https://doi.org/10.1111/faf.12852","","camera not in situ","","","10.1111/faf.12852"
"866","https://doi.org/10.15517/rev.biol.trop..v72iS1.58868","","camera not in situ","","","10.15517/rev.biol.trop..v72iS1.58868"
"867","https://doi.org/10.1016/j.ecss.2022.107833","","no fish","","","10.1016/j.ecss.2022.107833"
"868","https://doi.org/10.1006/jmsc.2000.0718","","attached benthos","","","10.1006/jmsc.2000.0718"
"869","https://doi.org/10.4031/002533208787157624","","method","","","10.4031/002533208787157624"
"870","https://doi.org/10.1093/icb/ict092","","laboratory","","","10.1093/icb/ict092"
"871","https://doi.org/10.1017/S0954102097000503","","photoadaptation","","","10.1017/S0954102097000503"
"872","https://doi.org/10.1093/icesjms/fsw014","","single beam imaging","","","10.1093/icesjms/fsw014"
"873","https://doi.org/10.5038/2074-1235.53.1.1631","","seabirds","","","10.5038/2074-1235.53.1.1631"
"874","https://doi.org/10.1111/j.1095-8649.1996.tb06073.x","","eyes","","","10.1111/j.1095-8649.1996.tb06073.x"
"875","https://doi.org/10.1007/s00227-007-0807-9","","jellyfish","","","10.1007/s00227-007-0807-9"
"876","https://doi.org/10.3389/fmars.2022.1005327","","seabirds","","","10.3389/fmars.2022.1005327"
"877","https://doi.org/10.1016/j.rse.2014.04.032","","freshwater","","","10.1016/j.rse.2014.04.032"
"878","https://doi.org/10.1007/s00227-007-0880-0","","anenomes and brittle stars","","","10.1007/s00227-007-0880-0"
"879","https://doi.org/10.3389/fmars.2020.597682","","sponges","","","10.3389/fmars.2020.597682"
"880","https://doi.org/10.1016/B978-0-12-814960-7.00040-3","","geomorphology","","","10.1016/B978-0-12-814960-7.00040-3"
"881","https://doi.org/10.1007/s10750-007-9253-4","","laboratory","","","10.1007/s10750-007-9253-4"
"882","https://doi.org/10.1016/j.fishres.2007.11.003","","no camera","","","10.1016/j.fishres.2007.11.003"
"883","https://doi.org/10.1016/j.fishres.2024.107033","","tagged fish","","","10.1016/j.fishres.2024.107033"
"884","https://doi.org/10.1007/978-94-007-6458-3_14","","siphonophores","","","10.1007/978-94-007-6458-3_14"
"885","https://doi.org/10.1007/s002270050633","","no fish","","","10.1007/s002270050633"
"886","https://doi.org/10.3389/fmars.2021.679749","","oysters","","","10.3389/fmars.2021.679749"
"887","https://doi.org/10.1242/jeb.247544","","photoelastic","","","10.1242/jeb.247544"
"888","https://doi.org/10.1007/s00227-009-1222-1","","brittle stars","","","10.1007/s00227-009-1222-1"
"889","https://doi.org/10.1186/s12862-024-02214-5","","florescence imaging","","","10.1186/s12862-024-02214-5"
"890","https://doi.org/10.7225/toms.v11.n01.w07","","no fish","","","10.7225/toms.v11.n01.w07"
"891","https://doi.org/10.1002/rse2.230","","sea urchins","","","10.1002/rse2.230"
"892","https://doi.org/10.3390/s21227724","","method","","","10.3390/s21227724"
"893","https://doi.org/10.3389/fmars.2021.689280","","method","","","10.3389/fmars.2021.689280"
"894","https://doi.org/10.3390/JMSE8090656","","marine debris","","","10.3390/JMSE8090656"
"895","https://doi.org/10.1155/2020/3937580","","method","","","10.1155/2020/3937580"
"896","https://doi.org/10.1016/j.rsma.2018.05.006","","no fish","","","10.1016/j.rsma.2018.05.006"
"897","https://doi.org/10.1017/S0025315417001096","","no fish","","","10.1017/S0025315417001096"
"898","https://doi.org/10.1016/j.csr.2017.10.010","","method","","","10.1016/j.csr.2017.10.010"
"899","https://doi.org/10.1111/2041-210X.12746","","method","","","10.1111/2041-210X.12746"
"900","https://doi.org/10.1016/j.marpolbul.2017.01.018","","marine debris","","","10.1016/j.marpolbul.2017.01.018"
"901","https://doi.org/10.1016/j.marpolbul.2016.11.012","","marine debris","","","10.1016/j.marpolbul.2016.11.012"
"902","https://doi.org/10.1016/j.marpolbul.2022.113339","","octopus","","","10.1016/j.marpolbul.2022.113339"
"903","https://doi.org/10.1093/icesjms/fsaa135","","gear impact","","","10.1093/icesjms/fsaa135"
"904","https://doi.org/10.1016/j.dsr2.2011.08.009","","marine litter","","","10.1016/j.dsr2.2011.08.009"
"905","https://doi.org/10.3390/jmse8090656","","marine litter","","","10.3390/jmse8090656"
"906","https://doi.org/10.3856/vol53-issue3-fulltext-3318","","method","","","10.3856/vol53-issue3-fulltext-3318"
"907","https://doi.org/10.1016/j.jas.2005.03.010","","sidescan sonar","","","10.1016/j.jas.2005.03.010"
"908","https://doi.org/10.1002/ece3.10817","","stomach contents","","","10.1002/ece3.10817"
"909","https://doi.org/10.1007/s10695-023-01188-3","","digestive enzymes","","","10.1007/s10695-023-01188-3"
"910","https://doi.org/10.1109/JOE.2025.3553936","","multibeam","","","10.1109/JOE.2025.3553936"
"911","https://doi.org/10.3390/md16010007","","toxicology","","","10.3390/md16010007"
"912","https://doi.org/10.1163/156853901316924476","","freshwater","","","10.1163/156853901316924476"
"913","https://doi.org/10.1111/gcb.17263","","no camera","","","10.1111/gcb.17263"
"914","https://doi.org/10.1016/j.envpol.2023.121926","","chemistry","","","10.1016/j.envpol.2023.121926"
"915","https://doi.org/10.1088/1748-3190/ad046e","","method","","","10.1088/1748-3190/ad046e"
"916","https://doi.org/10.1109/TGRS.2005.847790","","satellite imagery","","","10.1109/TGRS.2005.847790"
"917","https://doi.org/10.1023/A:1007682304720","","telemetry","","","10.1023/A:1007682304720"
"918","https://doi.org/10.1007/s10021-020-00578-5","","penguins and seals","","","10.1007/s10021-020-00578-5"
"919","https://doi.org/10.1071/MF12027","","stable isotopes","","","10.1071/MF12027"
"920","https://doi.org/10.3389/feart.2024.1383726","","ADCP","","","10.3389/feart.2024.1383726"
"921","https://doi.org/10.3390/rs4113444","","satellite","","","10.3390/rs4113444"
"922","https://doi.org/10.1590/s1679-87592011000500016","","acoustic image","","","10.1590/s1679-87592011000500016"
"923","https://doi.org/10.1142/S0218396X05002694","","acoustic image","","","10.1142/S0218396X05002694"
"924","https://doi.org/10.1016/j.icesjms.2005.05.023","","method","","","10.1016/j.icesjms.2005.05.023"
"925","https://doi.org/10.1016/j.dsr2.2015.04.016","","multibeam","","","10.1016/j.dsr2.2015.04.016"
"926","https://doi.org/10.1016/j.jembe.2015.05.016","","turtle","","","10.1016/j.jembe.2015.05.016"
"927","https://doi.org/10.1016/j.marpol.2013.09.006","","method","","","10.1016/j.marpol.2013.09.006"
"928","https://doi.org/10.1016/j.jembe.2013.12.009","","pelagic","","","10.1016/j.jembe.2013.12.009"
"929","https://doi.org/10.1111/j.1748-7692.2012.00620.x","","dolphins","","","10.1111/j.1748-7692.2012.00620.x"
"930","https://doi.org/10.1139/z03-028","","dolphins","","","10.1139/z03-028"
"931","https://doi.org/10.1139/Z03-028","","dolphins","","","10.1139/Z03-028"
"932","https://doi.org/10.1016/j.ecss.2006.01.019","","sidescan","","","10.1016/j.ecss.2006.01.019"
"933","https://doi.org/10.1242/jeb.01552","","laboratory","","","10.1242/jeb.01552"
"934","https://doi.org/10.4031/002533203787537465","","no fish","","","10.4031/002533203787537465"
"935","https://doi.org/10.1007/s00227-002-0882-x","","laboratory","","","10.1007/s00227-002-0882-x"
"936","https://doi.org/10.1006/fstl.1999.0549","","resonance imaging","","","10.1006/fstl.1999.0549"
"937","https://doi.org/10.3354/meps154253","","photophilic","","","10.3354/meps154253"
"938","https://doi.org/10.1080/02757540801965423","","photophilic","","","10.1080/02757540801965423"
"939","https://doi.org/10.1002/1099-0763(199503)2:1<29::AID-ARP6140020105>3.0.CO;2-P","","side scan","","","10.1002/1099-0763(199503)2:1<29::AID-ARP6140020105>3.0.CO;2-P"
"940","https://doi.org/10.1007/BF02197848","","river","","","10.1007/BF02197848"
"941","https://doi.org/10.1016/j.ecss.2021.107588","","lake","","","10.1016/j.ecss.2021.107588"
"942","https://doi.org/10.2331/suisan.60.755","","photocycle","","","10.2331/suisan.60.755"
"943","https://doi.org/10.1159/000113593","","brain morphology","","","10.1159/000113593"
"944","https://doi.org/10.1111/j.1939-7445.1994.tb00180.x","","acoustic imaging","","","10.1111/j.1939-7445.1994.tb00180.x"
"945","https://doi.org/10.1002/ece3.10740","","acoustic imaging","","","10.1002/ece3.10740"
"946","https://doi.org/10.1016/S0022-0981(02)00535-X","","review","","","10.1016/S0022-0981(02)00535-X"
"947","https://doi.org/10.1016/j.dsr.2018.12.007","","seabed imaging","","","10.1016/j.dsr.2018.12.007"
"948","https://doi.org/10.1371/journal.pone.0153197","","photons","","","10.1371/journal.pone.0153197"
"949","https://doi.org/10.1111/j.1439-0426.1987.tb00536.x","","snow crabs","","","10.1111/j.1439-0426.1987.tb00536.x"
"950","https://doi.org/10.1017/S0025315400030034","","no fish","","","10.1017/S0025315400030034"
"951","https://doi.org/10.1002/edn3.586","","eDNA","","","10.1002/edn3.586"
"952","https://doi.org/10.1006/jmsc.2000.0705","","remote sensing imagery","","","10.1006/jmsc.2000.0705"
"953","https://doi.org/10.1016/S0022-0981(02)00543-9","","sediment profiling imagery","","","10.1016/S0022-0981(02)00543-9"
"954","https://doi.org/10.1007/s10661-018-7070-z","","method","","","10.1007/s10661-018-7070-z"
"955","https://doi.org/10.1017/S0025315418000851","","no fish","","","10.1017/S0025315418000851"
"956","https://doi.org/10.1017/S0025315413000647","","no camera","","","10.1017/S0025315413000647"
"957","https://doi.org/10.1006/jmsc.2000.0916","","no camera","","","10.1006/jmsc.2000.0916"
"958","https://doi.org/10.1080/24750263.2020.1742808","","no fish","","","10.1080/24750263.2020.1742808"
"959","https://doi.org/10.1002/ece3.11722","","no camera","","","10.1002/ece3.11722"
"960","https://doi.org/10.1371/journal.pone.0252593","","no fish","","","10.1371/journal.pone.0252593"
"961","https://doi.org/10.1139/F08-032","","review","","","10.1139/F08-032"
"962","https://doi.org/10.1016/j.ecolind.2020.106877","","no camera","","","10.1016/j.ecolind.2020.106877"
"963","https://doi.org/10.1016/j.jembe.2018.09.005","","no fish","","","10.1016/j.jembe.2018.09.005"
"964","https://doi.org/10.1016/j.jembe.2014.07.003","","pelagic","","","10.1016/j.jembe.2014.07.003"
"965","https://doi.org/10.3354/aei00478","","pelagic","","","10.3354/aei00478"
"966","https://doi.org/10.1002/ece3.70298","","isopod","","","10.1002/ece3.70298"
"967","https://doi.org/10.1016/j.fishres.2012.09.021","","lobster","","","10.1016/j.fishres.2012.09.021"
"968","https://doi.org/10.1016/S0044-8486(03)00473-3","","review","","","10.1016/S0044-8486(03)00473-3"
"969","https://doi.org/10.1046/j.1529-8817.1998.340661.x","","phototrophic","","","10.1046/j.1529-8817.1998.340661.x"
"970","https://doi.org/10.1016/j.jembe.2013.05.012","","no fish","","","10.1016/j.jembe.2013.05.012"
"971","https://doi.org/10.1016/S0399-1784(00)88958-6","","side scan","","","10.1016/S0399-1784(00)88958-6"
"972","https://doi.org/10.1080/15376494.2024.2440131","","seabed imaging","","","10.1080/15376494.2024.2440131"
"973","https://doi.org/10.1007/s002270050147","","crustaceans","","","10.1007/s002270050147"
"974","https://doi.org/10.1139/cjfas-2013-0099","","lobster","","","10.1139/cjfas-2013-0099"
"975","https://doi.org/10.1111/maec.12180","","starfish","","","10.1111/maec.12180"
